title;author;isbn13;format;publisher;pages;dimensions;overview
The Best American Essays of the Century;Joyce Carol Oates;9780618155873;Paperback;Houghton Mifflin Harcourt;624;6.00 (w) x 9.00 (h) x 1.50 (d);<p>This singular collection is nothing less than a political, spiritual, and intensely personal record of America’s tumultuous modern age, as experienced by our foremost critics, commentators, activists, and artists. Joyce Carol Oates has collected a group of works that are both intimate and important, essays that move from personal experience to larger significance without severing the connection between speaker and audience.<br> From Ernest Hemingway covering bullfights in Pamplona to Martin Luther King, Jr.’s “Letter from Birmingham Jail,” these essays fit, in the words of Joyce Carol Oates, “into a kind of mobile mosaic suggest[ing] where we’ve come from, and who we are, and where we are going.” Among those whose work is included are Mark Twain, John Muir, T. S. Eliot, Richard Wright, Vladimir Nabokov, James Baldwin, Tom Wolfe, Susan Sontag, Maya Angelou, Alice Walker, Joan Didion, Cynthia Ozick, Saul Bellow, Stephen Jay Gould, Edward Hoagland, and Annie Dillard.</p>
The Best Loved Poems of the American People;Hazel Felleman;9780385000192;Hardcover;Knopf Doubleday Publishing Group;670;5.99 (w) x 8.56 (h) x 2.06 (d);"More than 1,500,000 copies in print! Over 575&nbsp;&nbsp;traditional favorites to be read and reread.&nbsp;&nbsp;Categorized by theme, and indexed by author and first&nbsp;&nbsp;line, this is a collection that will be treasured."
The Norton Anthology of American Literature: Volume A: Beginnings to 1820;Wayne Franklin;9780393927399;Paperback;Norton, W. W. & Company, Inc.;972;6.00 (w) x 9.20 (h) x 1.10 (d);<p><b>Firmly grounded in the core strengths that have made it the best-selling undergraduate survey in the field,</b> The Norton Anthology of American Literature has been revitalized in this Seventh Edition through the collaboration between three new period editors and five seasoned ones.</p> <p>Under Nina Baym’s direction, the editors have considered afresh each selection and all the apparatus to make the anthology an even better teaching tool.</p>
The Norton Anthology of Poetry;Margaret Ferguson;9780393979206;Paperback;Norton, W. W. & Company, Inc.;2256;6.00 (w) x 9.20 (h) x 2.00 (d);<p><b>Offering over one thousand years of verse from the medieval period to the present,</b> The Norton Anthology of Poetry is the classroom standard for the study of poetry in English.</p> <p>The Fifth Edition retains the flexibility and breadth of selection that has defined this classic anthology, while improved and expanded editorial apparatus make it an even more useful teaching tool.</p>
The Norton Anthology of African American Literature, Vol. 2;Henry Louis Gates Jr.;9780393977783;Paperback;Norton, W. W. & Company, Inc.;2832;6.00 (w) x 9.30 (h) x 2.30 (d);"<p><b>Welcomed on publication as ""brilliant, definitive, and a joy to teach from,""</b> The Norton Anthology of African American Literature was adopted at more than 1,275 colleges and universities worldwide. Now, the new Second Edition offers these highlights.</p>"
Poems, Poets, Poetry: An Introduction and Anthology;Helen Vendler;9780312463199;Paperback;Bedford/St. Martin's;752;5.90 (w) x 9.00 (h) x 1.00 (d);<br> Many students today are puzzled by the meaning and purpose of poetry. <i>Poems, Poets, Poetry</i> demystifies the form and introduces students to its artistry and pleasures, using methods that Helen Vendler has successfully used herself over her long, celebrated career. Guided by Vendler’s erudite yet down-to-earth approach, students at all levels can benefit from her authoritative instruction. Her blend of new and canonical poets includes the broadest selection of new and multi-racial poets offered by any introductory text. Comprehensive and astute, this text engages students in effective ways of reading — and taking delight in — poetry.
The Poets Laureate Anthology;Elizabeth Hun Schmidt;9780393061819;Hardcover;Norton, W. W. & Company, Inc.;816;6.50 (w) x 9.30 (h) x 1.70 (d);"<p class=""null1"">The first anthology to gather poems by the forty-three poets laureate of the United States.</p> <p>As a record of poetry, <b>The Poets Laureate Anthology</b> is groundbreaking, charting the course of American poetry over the last seventy-five years, while being, at the same time, a pleasure to read, full of some of the world’s best-known poems and many new surprises. Elizabeth Hun Schmidt has gathered and introduced poems by each of the forty-three poets who have been named our nation’s poets laureate since the post (originally called Consultant in Poetry to the Library of Congress) was established in 1937. Poets range from Robert Pinsky, William Carlos Williams, and Elizabeth Bishop to Charles Simic, Billy Collins, and Rita Dove. Schmidt’s spirited introductions place the poets and their poems in historical and literary context and shine light on the interesting and often uneasy relationship between politics and art. This is an inviting, monumental collection for everyone’s library, containing much of the best poetry written in America over the last century.</p>"
The Portable Beat Reader;Various;9780142437537;Paperback;Penguin Group (USA);;;
The Best American Short Plays 2008-2009;Barbara Parisi;9781557837608;Paperback;Applause Theatre Book Publishers;356;5.50 (w) x 8.40 (h) x 1.10 (d);<p>This edition of the highly esteemed and long-enduring Best American Short Plays series contains fresh-voiced, cutting-edge plays by nineteen playwrights, both established and among the most promising of the new millennium. Each of these plays reflects the enormous diversity of contemporary American theatre.</p>
The Gift of Love;Lori Foster;9780425234280;Paperback;Penguin Group (USA);368;5.10 (w) x 7.90 (h) x 1.00 (d);<p><b>Edited by <i>New York Times</i> bestselling author Lori Foster-a heartwarming anthology of all-new stories that celebrate family love.</b></p> <p>Families come in many configurations, and every one is unique, made up of the personalities of each member. But the love that connects families is universal. Whether it is the love of parents for their children, the love between a husband and wife, the love between siblings, a love that transcends generations, or even the love for a family member never met, the family ties that bind us are the strongest and deepest emotional connections we experience. Families influence a person's development, how they treat others, and how they view life. In <i>The Gift of Love</i>, eight exceptional writers offer a variety of unique perspectives on what family love means and how it impacts our lives in ways profound and often surprising.</p> <p>Featuring:</p> <p>Lori Foster ? Heidi Betts ? Jules Bennett ? Ann Christopher ? Lisa Cooke ? Paige Cuccaro ? Gia Dawn ? Helen Kay Dimon</p>
"One Hundred and One Famous Poems (Barnes &amp; Noble Library of Essential Reading)";Roy J. Cook;9781435114760;Paperback;Barnes & Noble;;;
The Vintage Book of Contemporary American Poetry;J. D. McClatchy;9781400030934;Paperback;Knopf Doubleday Publishing Group;656;5.20 (w) x 7.99 (h) x 1.16 (d);<p>Dazzling in its range, exhilarating in its immediacy and grace, this collection gathers together, from every region of the country and from the past forty years, the poems that continue to shape our imaginations. From Robert Lowell and Elizabeth Bishop, John Ashbery and Adrienne Rich, to Robert Haas and Louise Gluck, this anthology takes the full measure of our poetry's daring energies and its tender understandings.</p>
Literature: A Pocket Anthology;R. S. Gwynn;9780205655106;Paperback;Longman;;;
I'll Fly Away: Further Testimonies from the Women of York Prison;Wally Lamb;9780061626395;Paperback;HarperCollins Publishers;288;5.30 (w) x 7.90 (h) x 0.80 (d);<p>For several years, Wally Lamb, the author of two of the most beloved novels of our time, has run a writing workshop at the York Correctional Institution, Connecticut's only maximum-security prison for women. Writing, Lamb discovered, was a way for these women to face their fears and failures and begin to imagine better lives. <b>Couldn't Keep It to Myself</b>, a collection of their essays, was published in 2003 to great critical acclaim. With <b>I'll Fly Away</b>, Lamb offers readers a new volume of intimate pieces from the York workshop. Startling, heartbreaking, and inspiring, these stories are as varied as the individuals who wrote them, but each illuminates an important core truth: that a life <b>can</b> be altered through self-awareness and the power of the written word.</p>
American Earth: Environmental Writing Since Thoreau;Bill McKibben;9781598530209;Hardcover;Library of America;900;5.12 (w) x 8.18 (h) x 2.10 (d);"<p>As America and the world grapple with the consequences of global environmental change, writer and activist Bill McKibben offers this unprecedented, provocative, and timely anthology, gathering the best and most significant American environmental writing from the last two centuries.</p> <p>Classics of the environmental imagination-the essays of Henry David Thoreau, John Muir, and John Burroughs; Aldo Leopold's <i>A Sand County Almanac</i>; Rachel Carson's <i>Silent Spring</i>'are set against the inspiring story of an emerging activist movement, as revealed by newly uncovered reports of pioneering campaigns for conservation, passages from landmark legal opinions and legislation, and searing protest speeches. Here are some of America's greatest and most impassioned writers, taking a turn toward nature and recognizing the fragility of our situation on earth and the urgency of the search for a sustainable way of life. Thought-provoking essays on overpopulation, consumerism, energy policy, and the nature of 'nature' join ecologists' memoirs and intimate sketches of the habitats of endangered species. The anthology includes a detailed chronology of the environmental movement and American environmental history, as well as an 80-page color portfolio of illustrations.</p>"
